"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"SoortRegio_2";"Codering_3";"EenOfMeerLangdurigeAandoeningen_16";"BeperktVanwegeGezondheid_17";"ErnstigBeperktVanwegeGezondheid_18";"LangdurigeZiekteEnBeperkt_19"
"312536";"80200";"MW00000";"BU00590006";"2020JJ00";"Buurt     ";"BU00590006          ";"    45.9";"    43.7";"     4.5";"    42.4"
"312539";"80200";"MW00000";"BU00590007";"2020JJ00";"Buurt     ";"BU00590007          ";"    40.9";"    40.5";"     6.9";"    38.1"
"312542";"80200";"MW00000";"BU00590008";"2020JJ00";"Buurt     ";"BU00590008          ";"    42.5";"    42.1";"     5.7";"    39.3"
"312545";"80200";"MW00000";"BU00590009";"2020JJ00";"Buurt     ";"BU00590009          ";"    44.3";"    42.7";"    10.7";"    41.0"
"312548";"80200";"MW00000";"WK005901  ";"2020JJ00";"Wijk      ";"WK005901            ";"    44.8";"    46.4";"     7.0";"    44.3"
"312551";"80200";"MW00000";"BU00590100";"2020JJ00";"Buurt     ";"BU00590100          ";"    42.3";"    41.7";"     5.4";"    39.5"
"312554";"80200";"MW00000";"BU00590102";"2020JJ00";"Buurt     ";"BU00590102          ";"    46.0";"    48.5";"     8.0";"    46.4"
"312557";"80200";"MW00000";"BU00590103";"2020JJ00";"Buurt     ";"BU00590103          ";"    46.0";"    47.1";"     6.4";"    44.8"
"312560";"80200";"MW00000";"BU00590107";"2020JJ00";"Buurt     ";"BU00590107          ";"       .";"       .";"       .";"       ."
"312563";"80200";"MW00000";"BU00590108";"2020JJ00";"Buurt     ";"BU00590108          ";"    41.5";"    41.3";"     5.2";"    39.4"
"312566";"80200";"MW00000";"BU00590109";"2020JJ00";"Buurt     ";"BU00590109          ";"    36.8";"    36.4";"     4.8";"    34.7"
"312569";"80200";"MW00000";"WK005902  ";"2020JJ00";"Wijk      ";"WK005902            ";"    46.6";"    49.4";"     8.9";"    47.6"
"312572";"80200";"MW00000";"BU00590200";"2020JJ00";"Buurt     ";"BU00590200          ";"    46.6";"    50.6";"     9.8";"    48.8"
"312575";"80200";"MW00000";"BU00590201";"2020JJ00";"Buurt     ";"BU00590201          ";"    47.8";"    49.5";"     8.3";"    48.2"
"312578";"80200";"MW00000";"BU00590202";"2020JJ00";"Buurt     ";"BU00590202          ";"    44.3";"    46.0";"     6.2";"    42.5"
"312581";"80200";"MW00000";"BU00590203";"2020JJ00";"Buurt     ";"BU00590203          ";"    47.8";"    49.9";"     9.6";"    47.7"
"312584";"80200";"MW00000";"BU00590206";"2020JJ00";"Buurt     ";"BU00590206          ";"    45.4";"    46.6";"     9.2";"    44.7"
"312587";"80200";"MW00000";"BU00590207";"2020JJ00";"Buurt     ";"BU00590207          ";"    40.2";"    41.2";"     5.0";"    39.4"
